Age_GTS2004,Age_GTS2012,Age_GTS2016,Age_GTS2020,SLice,SLice max,SLice min,d18Osw,Temperature,Temperature max,Temperature min,SLice (long),SLice max (long),SLice min (long),d18Osw (long),Temperature (long),Temperature max (long),Temperature min (long)
9.2,9.203,9.203,9.203,-5.65,-2.4,-9,0.06,3,3.3,2.56,-13.27,-4.91,-11.7,0.15,,3.61,2.87
9.3,9.299,9.299,9.299,-5.64,-2.39,-8.99,0.06,3.07,3.38,2.63,-12.81,-4.36,-11.67,0.14,3.47,3.63,2.87
9.4,9.415,9.415,9.415,-5.63,-2.37,-8.97,0.06,3.1,3.42,2.66,-12.32,-3.8,-11.62,0.14,3.48,3.64,2.88
9.5,9.507,9.507,9.507,-5.61,-2.34,-8.94,0.06,3.11,3.43,2.66,-11.8,-3.24,-11.57,0.13,3.49,3.65,2.88
9.6,9.597,9.597,9.597,-5.58,-2.32,-8.92,0.06,3.13,3.45,2.67,-11.25,-2.68,-11.5,0.12,3.49,3.66,2.89
9.7,9.7,9.7,9.7,-5.56,-2.29,-8.89,0.06,3.2,3.53,2.74,-10.67,-2.12,-11.42,0.12,3.49,3.68,2.89
9.8,9.806,9.806,9.806,-5.5,-2.22,-8.82,0.06,3.32,3.65,2.86,-10.05,-1.56,-11.32,0.11,3.49,3.68,2.89
9.9,9.904,9.904,9.904,-5.41,-2.12,-8.72,0.06,3.48,3.81,3.01,-9.41,-1,-11.22,0.1,3.49,3.69,2.89
10,9.997,9.997,9.997,-5.28,-1.98,-8.53,0.06,3.62,3.95,3.14,-8.74,-0.44,-11.1,0.1,3.48,3.7,2.89
10.1,10.099,10.099,10.099,-5.12,-1.76,-8.22,0.06,3.67,4,3.19,-8.07,0.11,-10.96,0.09,3.48,3.71,2.89
10.2,10.201,10.201,10.201,-4.97,-1.43,-7.85,0.05,3.64,3.98,3.16,-7.4,0.66,-10.82,0.08,3.47,3.72,2.89
10.3,10.303,10.303,10.303,-5,-0.98,-7.78,0.06,3.59,3.93,3.09,-6.75,1.2,-10.66,0.07,3.45,3.73,2.89
10.4,10.404,10.404,10.404,-5.4,-0.39,-8.54,0.06,3.52,3.86,3.02,-6.12,1.74,-10.5,0.07,3.44,3.73,2.89
10.5,10.506,10.506,10.506,-6.36,0.32,-10.63,0.07,3.46,3.81,2.96,-5.53,2.27,-10.32,0.06,3.43,3.74,2.89
10.6,10.608,10.608,10.608,-7.89,1.12,-14.15,0.09,3.45,3.8,2.94,-4.98,2.8,-10.15,0.05,3.42,3.75,2.89
10.7,10.71,10.71,10.71,-9.72,1.96,-18.55,0.11,3.48,3.83,2.97,-4.48,3.31,-9.96,0.05,3.41,3.75,2.89
10.8,10.812,10.812,10.812,-11.39,2.81,-22.76,0.13,3.54,3.9,3.02,-4.02,3.83,-9.78,0.04,3.41,3.76,2.89
10.9,10.913,10.913,10.913,-12.33,3.66,-25.58,0.14,3.63,3.99,3.11,-3.61,4.33,-9.61,0.04,3.4,3.77,2.88
11,11.015,11.015,11.015,-12.13,4.51,-26.13,0.13,3.72,4.09,3.2,-3.24,4.83,-9.45,0.04,3.4,3.77,2.88
