Age_GTS2004,Age_GTS2012,Age_GTS2016,Age_GTS2020,Temperature,Temperature max,Temperature min,d18Osw,d18Osw max,d18Osw min,Temperature (long),Temperature max (long),Temperature min (long),d18Osw (long),d18Osw max (long),d18Osw min (long)
0.1,0.1,0.099,0.099,0.37,0.89,-0.23,0.157,0.368,-0.021,0.36,0.88,-0.23,0.22,0.407,0.021
0.2,0.2,0.198,0.198,0.37,0.89,-0.24,0.16,0.368,-0.02,0.44,0.96,-0.16,0.211,0.4,0.013
0.3,0.3,0.297,0.297,0.41,0.93,-0.2,0.178,0.377,-0.01,0.52,1.04,-0.09,0.202,0.394,0.006
0.4,0.4,0.396,0.396,0.52,1.04,-0.09,0.213,0.397,0.013,0.59,1.13,-0.02,0.194,0.387,-0.002
0.5,0.5,0.495,0.495,0.69,1.21,0.07,0.253,0.422,0.04,0.67,1.21,0.05,0.186,0.381,-0.01
0.6,0.6,0.594,0.594,0.86,1.43,0.23,0.275,0.446,0.055,0.75,1.29,0.12,0.177,0.375,-0.017
0.7,0.7,0.693,0.693,1.01,1.59,0.35,0.268,0.453,0.056,0.83,1.38,0.19,0.17,0.369,-0.025
0.8,0.8,0.795,0.795,1.11,1.69,0.45,0.231,0.436,0.036,0.91,1.46,0.26,0.162,0.363,-0.032
0.9,0.9,0.908,0.908,1.16,1.74,0.5,0.181,0.402,0.002,0.99,1.55,0.33,0.155,0.358,-0.039
1,1,1.018,1.018,1.16,1.73,0.5,0.129,0.358,-0.038,1.07,1.64,0.41,0.148,0.353,-0.045
1.1,1.1,1.107,1.107,1.12,1.68,0.49,0.082,0.31,-0.079,1.15,1.72,0.48,0.142,0.348,-0.052
1.2,1.2,1.235,1.235,1.08,1.65,0.43,0.048,0.275,-0.121,1.23,1.81,0.56,0.135,0.343,-0.058
1.3,1.3,1.328,1.328,1.07,1.64,0.39,0.028,0.25,-0.148,1.32,1.9,0.63,0.128,0.337,-0.066
1.4,1.4,1.422,1.422,1.1,1.68,0.42,0.023,0.24,-0.161,1.4,1.99,0.7,0.119,0.331,-0.074
1.5,1.5,1.515,1.515,1.18,1.79,0.49,0.031,0.245,-0.159,1.48,2.08,0.78,0.111,0.325,-0.083
1.6,1.6,1.609,1.609,1.35,1.95,0.65,0.058,0.266,-0.14,1.56,2.16,0.85,0.102,0.317,-0.093
1.7,1.7,1.702,1.702,1.59,2.16,0.89,0.096,0.298,-0.102,1.64,2.25,0.92,0.093,0.309,-0.104
1.8,1.8,1.796,1.796,1.84,2.43,1.13,0.132,0.342,-0.066,1.72,2.33,0.99,0.082,0.3,-0.116
1.9,1.9,1.891,1.891,2.05,2.68,1.31,0.156,0.374,-0.047,1.8,2.42,1.06,0.072,0.291,-0.129
