age,d18O,lat,long,CO3,d18O_CO3,pallong,pallat,d18Osw_global,temp_benthic,d18Osw_spatial,temp_2.5,temp,temp_97.5
3.179,-1.39,12.744,-78.7393,175.14,-1.42,-78.7619,12.9234,-0.372,-0.72,0.41,16.26,21.67,27.02
3.183,-1.09,12.744,-78.7393,175.11,-1.12,-78.7619,12.9234,-0.407,-0.153,0.41,14.11,19.55,24.93
3.189,-1.45,12.744,-78.7393,175.06,-1.48,-78.7619,12.9234,-0.312,-0.261,0.41,17.04,22.44,27.79
3.193,-1.31,12.744,-78.7393,175.03,-1.34,-78.7619,12.9234,-0.374,-0.118,0.41,15.74,21.16,26.52
3.197,-1.15,12.744,-78.7393,175,-1.19,-78.7619,12.9234,-0.339,-0.399,0.41,14.93,20.36,25.73
3.205,-1.4,12.744,-78.7393,174.94,-1.44,-78.7619,12.9234,-0.216,0.021,0.41,17.35,22.74,28.09
3.221,-1.27,12.744,-78.7393,174.81,-1.31,-78.7619,12.9234,-0.3,-0.364,0.41,15.96,21.37,26.73
3.225,-1.45,12.744,-78.7393,174.78,-1.49,-78.7619,12.9234,-0.281,-0.42,0.41,17.24,22.63,27.98
3.229,-1.2,12.744,-78.7393,174.75,-1.24,-78.7619,12.9234,-0.102,0.209,0.41,16.8,22.2,27.55
3.233,-1.49,12.744,-78.7393,174.72,-1.53,-78.7619,12.9234,-0.322,-0.316,0.41,17.24,22.63,27.98
3.237,-1.33,12.744,-78.7393,174.69,-1.37,-78.7619,12.9234,-0.267,-0.557,0.41,16.56,21.96,27.31
3.241,-1.18,12.744,-78.7393,174.66,-1.22,-78.7619,12.9234,-0.313,-0.468,0.41,15.29,20.72,26.08
3.245,-1.11,12.744,-78.7393,174.62,-1.15,-78.7619,12.9234,-0.253,0.131,0.41,15.24,20.67,26.03
3.248,-1.24,12.744,-78.7393,174.6,-1.28,-78.7619,12.9234,-0.342,-0.093,0.41,15.5,20.92,26.29
3.251,-1.04,12.744,-78.7393,174.58,-1.08,-78.7627,12.9293,-0.08,-0.533,0.41,15.89,21.31,26.67
3.254,-1.18,12.744,-78.7393,174.55,-1.22,-78.7627,12.9293,-0.121,-0.467,0.41,16.53,21.94,27.29
3.255,-1.45,12.744,-78.7393,174.55,-1.49,-78.7627,12.9293,-0.033,-0.051,0.41,18.85,24.22,29.56
3.256,-1.14,12.744,-78.7393,174.54,-1.18,-78.7627,12.9293,-0.056,-0.991,0.41,16.68,22.08,27.44
3.258,-1.49,12.744,-78.7393,174.52,-1.53,-78.7627,12.9293,-0.062,-0.849,0.41,18.91,24.27,29.61
3.259,-1.01,12.744,-78.7393,174.51,-1.05,-78.7627,12.9293,-0.045,-0.478,0.41,15.93,21.34,26.7
3.26,-1.11,12.744,-78.7393,174.51,-1.15,-78.7627,12.9293,-0.149,-1.167,0.4,15.89,21.3,26.66
3.261,-1.48,12.744,-78.7393,174.5,-1.52,-78.7627,12.9293,-0.074,0.02,0.41,18.79,24.15,29.49
3.262,-1,12.744,-78.7393,174.49,-1.04,-78.7627,12.9293,-0.053,-0.291,0.41,15.82,21.23,26.59
3.263,-1.26,12.744,-78.7393,174.48,-1.3,-78.7627,12.9293,-0.061,-0.699,0.41,17.43,22.82,28.17
3.264,-1.32,12.744,-78.7393,174.48,-1.36,-78.7627,12.9293,-0.068,-0.592,0.41,17.78,23.16,28.51
3.265,-1.04,12.744,-78.7393,174.47,-1.08,-78.7627,12.9293,-0.152,-0.772,0.41,15.43,20.85,26.21
3.266,-1.04,12.744,-78.7393,174.46,-1.08,-78.7627,12.9293,-0.11,-0.086,0.41,15.71,21.13,26.49
3.267,-1.4,12.744,-78.7393,174.45,-1.44,-78.7627,12.9293,-0.065,-0.255,0.41,18.32,23.69,29.04
3.268,-1.02,12.744,-78.7393,174.44,-1.06,-78.7627,12.9293,-0.071,-0.505,0.41,15.83,21.24,26.6
3.269,-1.34,12.744,-78.7393,174.44,-1.38,-78.7627,12.9293,-0.062,-0.336,0.41,17.95,23.33,28.68
3.27,-1.41,12.744,-78.7393,174.43,-1.45,-78.7627,12.9293,-0.054,-0.457,0.41,18.45,23.82,29.16
3.271,-1.13,12.744,-78.7393,174.42,-1.17,-78.7627,12.9293,-0.057,-0.601,0.41,16.62,22.02,27.38
3.272,-1.01,12.744,-78.7393,174.41,-1.05,-78.7627,12.9293,-0.108,-0.736,0.41,15.52,20.94,26.3
3.274,-1.33,12.744,-78.7393,174.4,-1.37,-78.7627,12.9293,-0.026,-0.35,0.41,18.12,23.5,28.84
3.274,-1.17,12.744,-78.7393,174.4,-1.21,-78.7627,12.9293,-0.026,-0.35,0.41,17.09,22.48,27.83
3.276,-0.97,12.744,-78.7393,174.38,-1.01,-78.7627,12.9293,-0.066,-0.581,0.41,15.53,20.95,26.32
3.277,-1.37,12.744,-78.7393,174.37,-1.41,-78.7627,12.9293,-0.062,-0.349,0.41,18.15,23.52,28.86
3.278,-0.97,12.744,-78.7393,174.37,-1.01,-78.7627,12.9293,-0.029,-0.26,0.41,15.78,21.19,26.56
3.279,-1.22,12.744,-78.7393,174.36,-1.26,-78.7627,12.9293,-0.005,-0.588,0.41,17.54,22.93,28.27
3.28,-1.23,12.744,-78.7393,174.35,-1.27,-78.7627,12.9293,0.023,-0.77,0.41,17.78,23.16,28.51
3.281,-1.18,12.744,-78.7393,174.34,-1.22,-78.7627,12.9293,0.066,-0.931,0.41,17.73,23.11,28.46
3.282,-0.97,12.744,-78.7393,174.33,-1.01,-78.7627,12.9293,0.087,-1.327,0.4,16.5,21.91,27.26
3.282,-1.18,12.744,-78.7393,174.33,-1.22,-78.7627,12.9293,0.087,-1.327,0.4,17.86,23.24,28.58
3.283,-0.92,12.744,-78.7393,174.33,-0.96,-78.7627,12.9293,0.056,-1.662,0.4,15.97,21.38,26.74
3.284,-1.08,12.744,-78.7393,174.32,-1.12,-78.7627,12.9293,0.052,-1.326,0.4,16.99,22.38,27.73
3.286,-0.78,12.744,-78.7393,174.3,-0.82,-78.7627,12.9293,0.24,-1.266,0.4,16.27,21.67,27.03
3.288,-0.79,12.744,-78.7393,174.29,-0.83,-78.7627,12.9293,0.154,-2.239,0.4,15.75,21.17,26.53
3.288,-0.74,12.744,-78.7393,174.29,-0.78,-78.7627,12.9293,0.154,-2.239,0.4,15.43,20.85,26.21
3.289,-0.72,12.744,-78.7393,174.28,-0.76,-78.7627,12.9293,0.161,-1.858,0.4,15.35,20.78,26.14
3.29,-0.85,12.744,-78.7393,174.27,-0.89,-78.7627,12.9293,0.183,-1.838,0.4,16.34,21.74,27.1
