age_GTS2020,age_GTS2020,age_GTS2020,age_GTS2020,age_W2020,temp_benthic,d18Osw_raw,d18Osw_pH
0.27,0.27,0.267,0.267,0.27,0.115552172,1.112308278,1.120215831
0.37,0.37,0.366,0.366,0.37,0.20519227,1.09142443,1.098970962
0.47,0.47,0.465,0.465,0.47,0.309169432,1.074244182,1.079140624
0.57,0.57,0.564,0.564,0.57,0.412641656,1.059786393,1.061052972
0.67,0.67,0.663,0.663,0.67,0.509654219,1.047034977,1.041929294
0.77,0.77,0.762,0.762,0.77,0.608988769,1.032572623,1.025792072
0.87,0.87,0.874,0.874,0.87,0.703941637,1.015307892,1.00719288
0.97,0.97,0.988,0.988,0.97,0.807739483,0.993312969,0.984440524
1.07,1.07,1.074,1.074,1.07,0.916223963,0.963835272,0.953829461
1.17,1.17,1.186,1.186,1.17,1.019437313,0.930946795,0.921237492
1.27,1.27,1.3,1.3,1.27,1.116348079,0.895916737,0.88363254
1.37,1.37,1.394,1.394,1.37,1.215566899,0.863746302,0.850823323
1.47,1.47,1.487,1.487,1.47,1.323418083,0.831130991,0.816441719
1.57,1.57,1.581,1.581,1.57,1.430249424,0.792234924,0.774148108
1.67,1.67,1.674,1.674,1.67,1.540744915,0.74617455,0.725503045
1.77,1.77,1.768,1.768,1.77,1.641465066,0.694295881,0.669322386
1.87,1.87,1.863,1.863,1.87,1.744825043,0.642459242,0.615895822
1.97,1.97,1.959,1.959,1.97,1.848427013,0.589866549,0.563433265
2.07,2.07,2.061,2.061,2.07,1.955078626,0.539163289,0.507338494
2.17,2.17,2.178,2.178,2.17,2.061164851,0.485334368,0.452481965
2.27,2.27,2.283,2.283,2.27,2.160065611,0.430556516,0.396433091
2.37,2.37,2.388,2.388,2.37,2.263403231,0.37687365,0.339957153
2.47,2.47,2.493,2.493,2.47,2.367419221,0.321336164,0.285030546
2.57,2.57,2.598,2.598,2.57,2.472530995,0.267999896,0.229712149
2.67,2.67,2.693,2.693,2.67,2.580670326,0.219757383,0.17741592
2.77,2.77,2.787,2.787,2.77,2.679344453,0.17490146,0.130274727
2.87,2.87,2.88,2.88,2.87,2.777466728,0.135662563,0.088171136
2.97,2.97,2.974,2.974,2.97,2.868778895,0.099465877,0.050134724
3.07,3.07,3.07,3.07,3.07,2.961157376,0.068399723,0.017741425
3.17,3.17,3.17,3.17,3.17,3.05538493,0.040005903,-0.010551921
3.27,3.27,3.27,3.27,3.27,3.144533445,0.015371461,-0.0383996
3.37,3.37,3.37,3.37,3.37,3.229207773,-0.005096301,-0.060710993
3.47,3.47,3.47,3.47,3.47,3.315304116,-0.023205076,-0.079803631
3.57,3.57,3.57,3.57,3.57,3.39439553,-0.038054368,-0.095634732
3.67,3.67,3.67,3.67,3.67,3.47481366,-0.048084911,-0.108219827
3.77,3.77,3.77,3.77,3.77,3.557618334,-0.05572012,-0.118675131
3.87,3.87,3.87,3.87,3.87,3.636106471,-0.059835209,-0.126318018
3.97,3.97,3.97,3.97,3.97,3.7128651,-0.062196105,-0.130468681
4.07,4.07,4.07,4.07,4.07,3.787511426,-0.061790362,-0.131122562
4.17,4.17,4.17,4.17,4.17,3.862322168,-0.05928542,-0.128870003
4.27,4.27,4.27,4.27,4.27,3.931132539,-0.052614249,-0.123509687
4.37,4.37,4.37,4.37,4.37,4.005193861,-0.042719088,-0.117792698
4.47,4.47,4.47,4.47,4.47,4.077231099,-0.032361973,-0.109341496
4.57,4.57,4.57,4.57,4.57,4.141660141,-0.02131049,-0.097433714
4.67,4.67,4.67,4.67,4.67,4.204795006,-0.008165928,-0.085443226
4.77,4.77,4.77,4.77,4.77,4.266116429,0.008206581,-0.071049121
4.87,4.87,4.87,4.87,4.87,4.328869839,0.025772475,-0.055309225
4.97,4.97,4.97,4.97,4.97,4.394628542,0.043070477,-0.038805559
5.07,5.07,5.07,5.07,5.07,4.457384659,0.061110643,-0.018072476
5.17,5.17,5.17,5.17,5.17,4.515150677,0.08069349,0.0004162
5.27,5.27,5.27,5.27,5.27,4.571958864,0.098916838,0.020069586
5.372,5.372,5.372,5.37,5.37,4.631285091,0.120123022,0.040733978
5.473,5.473,5.473,5.47,5.47,4.692048889,0.14191086,0.065990855
5.574,5.574,5.574,5.57,5.57,4.753644464,0.168250819,0.087942829
5.676,5.676,5.676,5.67,5.67,4.805208636,0.193003487,0.108492657
5.777,5.777,5.777,5.77,5.77,4.863630525,0.2164545,0.13172313
5.878,5.878,5.878,5.87,5.87,4.918157916,0.242370432,0.155506476
5.979,5.979,5.979,5.97,5.97,4.975604339,0.266836502,0.181492203
6.074,6.074,6.074,6.07,6.07,5.031504163,0.292156926,0.205331833
6.162,6.162,6.162,6.17,6.17,5.096275014,0.318671534,0.22951212
