source,age_ka,age_GTS2004,age_GTS2012,age_GTS2016,age_GTS2020,d18O,d18O_sw,sealevel
Vema 1930,0,0,0,0,0,2.87,0.14,-10.86
Vema 1930,1.31,0.001,0.00131,0.001,0.001,2.84,0.11,-8.46
Vema 1930,2.84,0.003,0.00284,0.003,0.003,2.67,-0.06,5.14
Vema 1930,3.57,0.004,0.00357,0.004,0.004,2.79,0.06,-4.46
Vema 1930,4.31,0.004,0.00431,0.004,0.004,2.63,-0.1,8.34
Vema 1930,5.45,0.005,0.00545,0.005,0.005,2.76,0.03,-2.06
Vema 1930,6.13,0.006,0.00613,0.006,0.006,2.75,0.02,-1.26
Vema 1930,6.77,0.007,0.00677,0.007,0.007,2.65,-0.08,6.74
Vema 1930,7.71,0.008,0.00771,0.008,0.008,2.92,0.19,-14.86
Vema 1930,8.9,0.009,0.0089,0.009,0.009,2.92,0.19,-14.86
Vema 1930,9.48,0.009,0.00948,0.009,0.009,2.88,0.15,-11.66
Vema 1930,10.03,0.01,0.01003,0.01,0.01,2.89,0.16,-12.46
Vema 1930,10.55,0.011,0.01055,0.01,0.01,2.82,0.09,-6.86
Vema 1930,10.98,0.011,0.01098,0.011,0.011,2.84,0.11,-8.46
Vema 1930,11.5,0.012,0.0115,0.011,0.011,2.82,0.09,-6.86
Vema 1930,11.88,0.012,0.01188,0.012,0.012,3.21,0.48,-38.06
Vema 1930,12.26,0.012,0.01226,0.012,0.012,3.05,0.32,-25.26
Vema 1930,12.6,0.013,0.0126,0.012,0.012,3.23,0.5,-39.66
Vema 1930,12.92,0.013,0.01292,0.013,0.013,2.78,0.05,-3.66
Vema 1930,13.24,0.013,0.01324,0.013,0.013,3.34,0.61,-48.46
Vema 1930,13.54,0.014,0.01354,0.013,0.013,3.26,0.23,-18.03
Vema 1930,13.84,0.014,0.01384,0.014,0.014,3.23,0.2,-15.63
Vema 1930,14.13,0.014,0.01413,0.014,0.014,3.25,0.22,-17.23
Vema 1930,14.43,0.014,0.01443,0.014,0.014,3.74,0.71,-56.43
Vema 1930,14.73,0.015,0.01473,0.015,0.015,3.46,0.43,-34.03
Vema 1930,15.02,0.015,0.01502,0.015,0.015,3.61,0.58,-46.03
Vema 1930,15.31,0.015,0.01531,0.015,0.015,3.52,0.49,-38.83
Vema 1930,15.59,0.016,0.01559,0.015,0.015,3.8,0.77,-61.23
Vema 1930,15.88,0.016,0.01588,0.016,0.016,4.09,1.06,-84.43
Vema 1930,16.16,0.016,0.01616,0.016,0.016,4,0.97,-77.23
Vema 1930,16.54,0.017,0.01654,0.016,0.016,4.2,1.17,-93.23
Vema 1930,16.83,0.017,0.01683,0.017,0.017,4.27,1.24,-98.83
Vema 1930,17.11,0.017,0.01711,0.017,0.017,4.28,1.25,-99.63
Vema 1930,17.39,0.017,0.01739,0.017,0.017,4.19,1.16,-92.43
Vema 1930,17.67,0.018,0.01767,0.017,0.017,4.15,1.12,-89.23
Vema 1930,17.95,0.018,0.01795,0.018,0.018,4.58,1.55,-123.63
Vema 1930,18.23,0.018,0.01823,0.018,0.018,4.56,1.53,-122.03
Vema 1930,18.5,0.019,0.0185,0.018,0.018,4.44,1.41,-112.43
Vema 1930,18.76,0.019,0.01876,0.019,0.019,4.35,1.32,-105.23
Vema 1930,19.03,0.019,0.01903,0.019,0.019,4.51,1.48,-118.03
Vema 1930,19.26,0.019,0.01926,0.019,0.019,4.49,1.46,-116.43
Vema 1930,19.53,0.02,0.01953,0.019,0.019,4.36,1.33,-106.03
Vema 1930,19.77,0.02,0.01977,0.02,0.02,4.34,1.31,-104.43
Vema 1930,20,0.02,0.02,0.02,0.02,4.23,1.2,-95.63
Vema 1930,20.24,0.02,0.02024,0.02,0.02,4.48,1.45,-115.63
Vema 1930,20.47,0.02,0.02047,0.02,0.02,4.5,1.47,-117.23
Vema 1930,20.84,0.021,0.02084,0.021,0.021,4.32,1.29,-102.83
Vema 1930,21.13,0.021,0.02113,0.021,0.021,4.31,1.28,-102.03
Vema 1930,21.34,0.021,0.02134,0.021,0.021,4.43,1.4,-111.63
Vema 1930,21.55,0.022,0.02155,0.021,0.021,4.46,1.43,-114.03
Vema 1930,21.76,0.022,0.02176,0.022,0.022,4.25,1.22,-97.23
Vema 1930,21.96,0.022,0.02196,0.022,0.022,4.41,1.38,-110.03
Vema 1930,22.17,0.022,0.02217,0.022,0.022,4.35,1.32,-105.23
Vema 1930,22.37,0.022,0.02237,0.022,0.022,4.36,1.33,-106.03
Vema 1930,22.57,0.023,0.02257,0.022,0.022,4.25,1.22,-97.23
