age_ka,age_GTS2004,age_GTS2012,age_GTS2016,age_GTS2020,sealevel,sealevel_95,d18Osw,d18Osw_95,d18Otemp,d18Otemp_95,temp_benthic,temp_benthic_95
0,0,0,0.000,0.000,0.168,5.794,0,0.000,0.000,0.000,0.000,0.000
-1,0.001,0.001,0.001,0.001,-0.488,5.098,0.005396,0.008,0.008,0.006,-0.034,-0.025
-2,0.002,0.002,0.002,0.002,-1.145,4.401,0.039,0.055,-0.011,-0.028,0.044,0.110
-3,0.003,0.003,0.003,0.003,-5.101,0.215,0.074,0.125,0.036,-0.015,-0.144,0.060
-4,0.004,0.004,0.004,0.004,-9.116,-4.020,0.115,0.166,0.076,0.024,-0.304,-0.097
-5,0.005,0.005,0.005,0.005,-13.753,-8.895,0.168,0.221,0.114,0.061,-0.454,-0.243
-6,0.006,0.006,0.006,0.006,-19.632,-15.052,0.243,0.297,0.150,0.096,-0.602,-0.383
-7,0.007,0.007,0.007,0.007,-27.815,-23.565,0.483,0.543,0.056,-0.004,-0.226,0.016
-8,0.008,0.008,0.008,0.008,-53.215,-49.817,0.629,0.692,0.336,0.273,-1.343,-1.091
-9,0.009,0.009,0.009,0.009,-68.473,-65.458,0.771,0.836,0.429,0.364,-1.716,-1.457
-10,0.01,0.01,0.010,0.010,-82.911,-80.193,0.782,0.846,0.630,0.565,-2.520,-2.261
-11,0.011,0.011,0.011,0.011,-84.140,-81.444,0.886,0.952,0.543,0.477,-2.172,-1.908
-12,0.012,0.012,0.012,0.012,-94.875,-92.342,1.048,1.115,0.529,0.462,-2.115,-1.847
-13,0.013,0.013,0.013,0.013,-111.067,-108.731,1.104,1.171,0.689,0.622,-2.757,-2.488
-14,0.014,0.014,0.014,0.014,-116.432,-114.148,1.062,1.129,0.800,0.733,-3.200,-2.931
-15,0.015,0.015,0.015,0.015,-113.510,-111.199,1.029,1.096,0.796,0.729,-3.184,-2.915
-16,0.016,0.016,0.016,0.016,-111.266,-108.933,0.986,1.053,0.810,0.743,-3.240,-2.970
-17,0.017,0.017,0.017,0.017,-108.012,-105.645,0.926,0.993,0.827,0.760,-3.308,-3.039
-18,0.018,0.018,0.018,0.018,-103.012,-100.588,0.888,0.955,0.799,0.732,-3.198,-2.930
-19,0.019,0.019,0.019,0.019,-99.878,-97.415,0.827,0.894,0.818,0.751,-3.272,-3.005
-20,0.02,0.02,0.020,0.020,-94.407,-91.869,0.794,0.861,0.777,0.711,-3.108,-2.842
-21,0.021,0.021,0.021,0.021,-91.523,-88.944,0.773,0.840,0.758,0.692,-3.034,-2.768
-22,0.022,0.022,0.022,0.022,-89.853,-87.249,0.761,0.828,0.747,0.681,-2.989,-2.724
-23,0.023,0.023,0.023,0.023,-89.078,-86.463,0.742,0.808,0.756,0.690,-3.023,-2.759
-24,0.024,0.024,0.024,0.024,-87.530,-84.890,0.696,0.762,0.780,0.714,-3.120,-2.857
-25,0.025,0.025,0.025,0.025,-83.178,-80.465,0.684,0.750,0.731,0.665,-2.924,-2.662
-26,0.026,0.026,0.026,0.026,-82.267,-79.538,0.697,0.763,0.705,0.639,-2.821,-2.558
-27,0.027,0.027,0.027,0.027,-83.664,-80.960,0.701,0.767,0.721,0.656,-2.885,-2.622
-28,0.028,0.028,0.028,0.028,-83.979,-81.280,0.648,0.713,0.779,0.714,-3.115,-2.854
-29,0.029,0.029,0.029,0.029,-78.730,-75.936,0.613,0.677,0.739,0.674,-2.957,-2.698
-30,0.03,0.03,0.030,0.030,-75.188,-72.327,0.625,0.690,0.676,0.611,-2.703,-2.443
-31,0.031,0.031,0.031,0.031,-76.532,-73.698,0.617,0.682,0.704,0.639,-2.815,-2.555
-32,0.032,0.032,0.032,0.032,-75.810,-72.962,0.615,0.680,0.695,0.630,-2.780,-2.520
-33,0.033,0.033,0.033,0.033,-75.785,-72.936,0.579,0.643,0.731,0.666,-2.923,-2.665
-34,0.034,0.034,0.034,0.034,-72.028,-69.104,0.565,0.630,0.689,0.625,-2.757,-2.500
-35,0.035,0.035,0.035,0.035,-70.623,-67.669,0.559,0.623,0.675,0.611,-2.700,-2.443
-36,0.036,0.036,0.036,0.036,-69.910,-66.941,0.566,0.631,0.657,0.593,-2.629,-2.371
-37,0.037,0.037,0.037,0.037,-70.725,-67.773,0.569,0.633,0.667,0.602,-2.667,-2.410
-38,0.038,0.038,0.038,0.038,-70.985,-68.039,0.562,0.627,0.677,0.613,-2.708,-2.451
-39,0.039,0.039,0.039,0.039,-70.371,-67.411,0.626,0.691,0.604,0.539,-2.416,-2.156
-40,0.04,0.04,0.040,0.040,-77.294,-74.475,0.585,0.649,0.747,0.682,-2.987,-2.729
-41,0.041,0.041,0.041,0.041,-73.056,-70.152,0.546,0.610,0.724,0.660,-2.895,-2.638
-42,0.042,0.042,0.042,0.042,-69.026,-66.038,0.567,0.631,0.643,0.579,-2.573,-2.316
-43,0.043,0.043,0.043,0.043,-71.185,-68.242,0.443,0.506,0.799,0.737,-3.197,-2.946
-44,0.044,0.044,0.044,0.044,-57.633,-54.371,0.522,0.586,0.515,0.451,-2.059,-1.803
-45,0.045,0.045,0.045,0.045,-66.495,-63.450,0.565,0.630,0.607,0.543,-2.428,-2.171
-46,0.046,0.046,0.046,0.046,-71.234,-68.293,0.529,0.592,0.714,0.650,-2.857,-2.602
-47,0.047,0.047,0.047,0.047,-67.295,-64.267,0.526,0.590,0.658,0.594,-2.633,-2.378
-48,0.048,0.048,0.048,0.048,-67.022,-63.989,0.578,0.643,0.602,0.538,-2.409,-2.151
-49,0.05,0.05,0.049,0.049,-72.748,-69.838,0.563,0.627,0.702,0.638,-2.808,-2.552
-50,0.051,0.051,0.050,0.050,-71.256,-68.315,0.52,0.584,0.723,0.660,-2.893,-2.639
-51,0.052,0.052,0.051,0.051,-66.647,-63.605,0.511,0.575,0.664,0.600,-2.655,-2.401
-52,0.053,0.053,0.052,0.052,-65.614,-62.548,0.502,0.565,0.657,0.594,-2.629,-2.375
-53,0.054,0.054,0.053,0.053,-64.479,-61.386,0.482,0.546,0.659,0.596,-2.638,-2.385
-54,0.055,0.055,0.054,0.054,-62.199,-59.052,0.539,0.603,0.568,0.504,-2.273,-2.018
-55,0.056,0.056,0.055,0.055,-68.512,-65.512,0.558,0.622,0.645,0.581,-2.579,-2.323
-56,0.057,0.057,0.056,0.056,-70.593,-67.638,0.55,0.614,0.684,0.620,-2.735,-2.480
-57,0.058,0.058,0.057,0.057,-69.821,-66.850,0.567,0.631,0.655,0.591,-2.619,-2.363
-58,0.059,0.059,0.058,0.058,-71.851,-68.922,0.638,0.702,0.614,0.549,-2.457,-2.198
-59,0.06,0.06,0.059,0.059,-79.691,-76.916,0.686,0.751,0.680,0.615,-2.719,-2.459
-60,0.061,0.061,0.060,0.060,-84.961,-82.278,0.673,0.737,0.768,0.703,-3.072,-2.813
-61,0.062,0.062,0.061,0.061,-84.372,-81.677,0.622,0.687,0.809,0.745,-3.238,-2.981
-62,0.063,0.063,0.062,0.062,-79.934,-77.164,0.656,0.721,0.713,0.648,-2.851,-2.593
-63,0.064,0.064,0.063,0.063,-83.740,-81.037,0.666,0.731,0.757,0.693,-3.029,-2.771
-64,0.065,0.065,0.064,0.064,-84.758,-82.072,0.618,0.682,0.820,0.756,-3.279,-3.023
-65,0.066,0.066,0.065,0.065,-80.572,-77.812,0.549,0.612,0.830,0.766,-3.318,-3.065
-66,0.067,0.067,0.066,0.066,-73.967,-71.080,0.577,0.640,0.706,0.642,-2.823,-2.570
-67,0.068,0.068,0.067,0.067,-77.141,-74.318,0.51,0.573,0.819,0.756,-3.275,-3.024
-68,0.069,0.069,0.068,0.068,-70.612,-67.650,0.433,0.495,0.800,0.738,-3.199,-2.951
-69,0.07,0.07,0.069,0.069,-62.482,-59.343,0.371,0.432,0.741,0.680,-2.965,-2.718
-70,0.071,0.071,0.070,0.070,-55.798,-52.490,0.377,0.438,0.632,0.570,-2.528,-2.281
-71,0.072,0.072,0.071,0.071,-56.529,-53.241,0.358,0.420,0.662,0.600,-2.647,-2.402
-72,0.073,0.073,0.072,0.072,-54.868,-51.535,0.365,0.427,0.629,0.567,-2.515,-2.269
-73,0.074,0.074,0.073,0.073,-55.706,-52.396,0.332,0.394,0.675,0.614,-2.699,-2.455
-74,0.075,0.075,0.074,0.074,-52.271,-48.862,0.294,0.355,0.658,0.598,-2.634,-2.391
-75,0.076,0.076,0.075,0.075,-47.950,-44.418,0.246,0.307,0.637,0.576,-2.548,-2.305
-76,0.077,0.077,0.076,0.076,-42.293,-38.587,0.235,0.295,0.556,0.496,-2.226,-1.984
-77,0.078,0.078,0.077,0.077,-40.870,-37.117,0.23,0.290,0.538,0.477,-2.150,-1.909
-78,0.079,0.079,0.078,0.078,-40.235,-36.461,0.197,0.257,0.560,0.499,-2.239,-1.998
-79,0.08,0.08,0.079,0.079,-35.996,-32.075,0.199,0.259,0.486,0.426,-1.945,-1.704
-80,0.081,0.081,0.080,0.080,-36.223,-32.310,0.2,0.260,0.489,0.429,-1.958,-1.717
-81,0.082,0.082,0.081,0.081,-36.296,-32.386,0.179,0.239,0.511,0.451,-2.044,-1.803
-82,0.083,0.083,0.082,0.082,-33.392,-29.377,0.179,0.239,0.461,0.401,-1.846,-1.606
-83,0.084,0.084,0.083,0.083,-32.839,-28.803,0.178,0.238,0.453,0.392,-1.810,-1.570
-84,0.085,0.085,0.084,0.084,-32.142,-28.080,0.21,0.270,0.409,0.349,-1.636,-1.394
-85,0.086,0.086,0.085,0.085,-36.133,-32.217,0.22,0.281,0.467,0.407,-1.869,-1.627
