age_ka,age_LR04,age_GTS2004,age_GTS2012,age_GTS2016,age_GTS2020,sealevel,sealevel_95,d18Osw,d18Osw_95,d18Otemp,d18Otemp_95,temp_benthic,temp_benthic_95
0,0,0,0,0,0,-0.018,5.596,0.044,0.007,-0.044,-0.007,0.177,0.026
-1,0.001,0.001,0.001,0.001,0.001,-0.018,5.596,0,0,0,0,0,0
-2,0.002,0.002,0.002,0.002,0.002,1.537,7.248,0.052,0.02,-0.085,-0.054,0.341,0.214
-3,0.003,0.003,0.003,0.003,0.003,-0.234,5.367,0.065,0.053,-0.06,-0.049,0.242,0.194
-4,0.004,0.004,0.004,0.004,0.004,-3.034,2.4,0.064,0.053,-0.001,0.01,0.004,-0.041
-5,0.005,0.005,0.005,0.005,0.005,-3.049,2.384,0.07,0.046,-0.006,0.017,0.024,-0.069
-6,0.006,0.006,0.006,0.006,0.006,-1.455,4.073,0.087,0.079,-0.056,-0.049,0.225,0.195
-7,0.007,0.007,0.007,0.007,0.007,-4.216,1.15,0.098,0.13,-0.01,-0.042,0.041,0.169
-8,0.008,0.008,0.008,0.008,0.008,-6.102,-0.843,0.109,0.139,0.017,-0.013,-0.068,0.053
-9,0.009,0.009,0.009,0.009,0.009,-7.993,-2.838,0.111,0.141,0.053,0.023,-0.213,-0.092
-10,0.01,0.01,0.01,0.01,0.01,-8.631,-3.51,0.148,0.166,0.029,0.011,-0.117,-0.043
-11,0.011,0.011,0.011,0.011,0.011,-8.339,-3.202,0.204,0.223,-0.033,-0.052,0.131,0.207
-12,0.012,0.012,0.012,0.012,0.012,-14.275,-9.444,0.238,0.258,0.05,0.03,-0.198,-0.12
-13,0.013,0.013,0.013,0.013,0.013,-17.819,-13.157,0.359,0.381,-0.004,-0.026,0.015,0.105
-14,0.014,0.014,0.014,0.014,0.014,-30.023,-25.88,0.467,0.492,0.11,0.085,-0.44,-0.34
-15,0.015,0.015,0.015,0.015,0.015,-40.789,-37.033,0.573,0.6,0.189,0.162,-0.758,-0.649
-16,0.016,0.016,0.016,0.016,0.016,-51.202,-47.767,0.716,0.746,0.216,0.186,-0.862,-0.744
-17,0.017,0.017,0.017,0.017,0.017,-65.311,-62.239,0.884,0.916,0.266,0.235,-1.066,-0.939
-18,0.018,0.018,0.018,0.018,0.018,-81.58,-78.839,1.033,1.066,0.356,0.323,-1.424,-1.292
-19,0.019,0.019,0.019,0.019,0.019,-95.805,-93.289,1.142,1.176,0.444,0.411,-1.778,-1.643
-20,0.02,0.02,0.02,0.02,0.02,-106.073,-103.684,1.17,1.204,0.554,0.52,-2.215,-2.08
-21,0.021,0.021,0.021,0.021,0.021,-108.638,-106.278,1.154,1.188,0.603,0.57,-2.413,-2.279
-22,0.022,0.022,0.022,0.022,0.022,-107.822,-105.453,1.119,1.153,0.627,0.594,-2.509,-2.375
-23,0.023,0.023,0.023,0.023,0.023,-105.336,-102.94,1.07,1.103,0.644,0.611,-2.577,-2.443
-24,0.024,0.024,0.024,0.024,0.024,-101.437,-98.994,1.044,1.077,0.618,0.585,-2.474,-2.34
-25,0.025,0.025,0.025,0.025,0.025,-99.614,-97.148,1.006,1.04,0.632,0.598,-2.527,-2.393
-26,0.026,0.026,0.026,0.026,0.026,-96.725,-94.221,0.991,1.024,0.608,0.575,-2.433,-2.301
-27,0.027,0.027,0.027,0.027,0.027,-95.799,-93.282,0.912,0.945,0.675,0.642,-2.698,-2.567
-28,0.028,0.028,0.028,0.028,0.028,-88.929,-86.311,0.913,0.945,0.579,0.547,-2.318,-2.187
-29,0.029,0.029,0.029,0.029,0.029,-89.034,-86.417,0.933,0.966,0.561,0.528,-2.243,-2.112
-30,0.03,0.03,0.03,0.03,0.03,-90.949,-88.362,0.917,0.95,0.603,0.57,-2.412,-2.281
-31,0.031,0.031,0.031,0.031,0.031,-89.935,-87.333,0.849,0.881,0.657,0.625,-2.629,-2.5
-32,0.032,0.032,0.032,0.032,0.032,-83.869,-81.168,0.822,0.854,0.599,0.567,-2.396,-2.267
-33,0.033,0.033,0.033,0.033,0.033,-81.664,-78.924,0.808,0.84,0.582,0.55,-2.327,-2.199
-34,0.034,0.034,0.034,0.034,0.034,-80.614,-77.856,0.79,0.822,0.585,0.553,-2.34,-2.212
-35,0.035,0.035,0.035,0.035,0.035,-79.193,-76.409,0.793,0.825,0.562,0.53,-2.248,-2.121
-36,0.036,0.036,0.036,0.036,0.036,-79.406,-76.626,0.763,0.795,0.594,0.563,-2.377,-2.251
-37,0.037,0.037,0.037,0.037,0.037,-76.798,-73.969,0.704,0.735,0.616,0.585,-2.465,-2.341
-38,0.038,0.038,0.038,0.038,0.038,-71.1,-68.156,0.699,0.73,0.538,0.508,-2.154,-2.03
-39,0.039,0.039,0.039,0.039,0.039,-70.505,-67.548,0.672,0.703,0.556,0.526,-2.225,-2.103
-40,0.04,0.04,0.04,0.04,0.04,-67.788,-64.772,0.747,0.778,0.441,0.41,-1.765,-1.639
-41,0.041,0.041,0.041,0.041,0.041,-75.407,-72.55,0.761,0.792,0.539,0.508,-2.158,-2.031
